Dimension: 30

Sample seed: 0

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 30
Sf-sfd,3.7298439715015848,0.0,0.0,3.7298439715015848,667.3056645393372
SF-SFD average,3.853752139794839,0.0,0.0,3.853752139794839,
LHS,7.607586333694721,1.2282412972854806,1.3782130561937433,9652.804348858104,
Sobol,25.54997713477109,1.3191794324503396,1.8787313624843134,31671.80252845468,
Random best,6.64621598180946,1.1860457572161114,1.4545519506981923,8514.548387275177,
Random average,7.946792120156488,1.3421924398870235,1.4307731287612249,9808.72158466712,

Sample size: 200


The dimension of the input space is: 30
Sf-sfd,2.309270981766602,0.0,0.0,2.309270981766602,1523.5764195919037
SF-SFD average,2.365912919793272,0.0,0.0,2.365912919793272,
LHS,3.7139040010040105,1.3171065398663406,2.781677222682709,6512.0221139841815,
Sobol,8.050363747914568,1.2144229074119424,3.3235044018630258,14445.464516061958,
Random best,3.555127144429381,1.2702747007838815,2.749135653649297,6304.280714678444,
Random average,3.969782853096314,1.2460152956181754,2.639727071574871,7080.213891689072,

Sample size: 300


The dimension of the input space is: 30
Sf-sfd,1.7700846479483694,0.0,0.0,1.7700846479483694,2844.1112473011017
SF-SFD average,1.8304264757463158,0.0,0.0,1.8304264757463158,
LHS,2.4120408272745397,1.2523981100166446,3.6710283192266173,5257.706982977389,
Sobol,4.221087106170131,1.2144229074119424,4.390178257264976,9270.78533455378,
Random best,2.4425270586442647,1.2549665608003586,3.559194497770575,5322.076675378216,
Random average,2.6501180682844283,1.2012763738076346,3.563777412398349,5846.611670143353,

Sample size: 400


The dimension of the input space is: 30
Sf-sfd,1.4829802466712838,0.0,0.0,1.4829802466712838,4929.994872570038
SF-SFD average,1.5232136846455249,0.0,0.0,1.5232136846455249,
LHS,1.8361168684052274,1.1769075083599785,4.35484018041806,4703.146601084132,
Sobol,2.767349165009117,1.1453342159861435,5.374929122730013,7128.279685265719,
Random best,1.8663862299628207,1.227919855165374,4.128949708283288,4725.761346531621,
Random average,1.9871530760967895,1.1683180360710121,4.336234399033634,5099.810127142784,

Sample size: 500


The dimension of the input space is: 30
Sf-sfd,1.2238064981999361,0.0,0.0,1.2238064981999361,2768.816578388214
SF-SFD average,1.263334500608349,0.0,0.0,1.263334500608349,
LHS,1.5161362735195016,1.1450312915068277,4.9646036393288675,4373.471931313806,
Sobol,2.0117619719676476,1.1453342159861435,6.127453655458675,5792.622361555015,
Random best,1.4492696407629193,1.1117807700951008,5.0426429038311165,4212.180503392801,
Random average,1.5941194497587547,1.1430156485950314,5.020116652939765,4600.084267358319,
