Dimension: 20

Sample seed: 5

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 20
Sf-sfd,0.6170368034912403,0.0,0.0,0.6170368034912403,177.30801010131836
SF-SFD average,0.6599992739307813,0.0,0.0,0.6599992739307813,
LHS,0.6694955029017482,0.9970219849848879,1.7565167668926374,461.22797020789244,
Sobol,0.8617777281271719,1.0250762166785454,2.1959189734392273,587.5966666144548,
Random best,0.7333025282548506,1.019339549298993,1.8212719491556308,501.7775075778366,
Random average,0.8127417153208847,0.9215234257882254,1.74673732547903,572.0586216879182,

Sample size: 200


The dimension of the input space is: 20
Sf-sfd,0.35220423236877085,0.0,0.0,0.35220423236877085,306.163462638855
SF-SFD average,0.37313475523224404,0.0,0.0,0.37313475523224404,
LHS,0.3441946679030794,0.9036369735946531,2.767978057393469,344.0041232786843,
Sobol,0.3330679327919226,0.9527086693180398,3.6428900530113144,327.2803689275619,
Random best,0.34880926313250615,0.9195586796200584,2.9598369119660473,346.82298395392525,
Random average,0.40680103083124963,0.8415195738799508,2.957650624572311,413.4266260172246,

Sample size: 300


The dimension of the input space is: 20
Sf-sfd,0.2319877261850687,0.0,0.0,0.2319877261850687,477.16485261917114
SF-SFD average,0.2498955569457136,0.0,0.0,0.2498955569457136,
LHS,0.22725009433058485,0.7811691193469027,3.865812837904055,287.31680079126045,
Sobol,0.19787171571604656,0.8931826624799025,4.465677495884411,242.15606597830666,
Random best,0.2445649814008286,0.8674055729555646,3.8396636012941534,302.0070057649527,
Random average,0.27268807944517287,0.8057914964500554,3.8754985602610685,342.4884947557351,

Sample size: 400


The dimension of the input space is: 20
Sf-sfd,0.17951973205337524,0.0,0.0,0.17951973205337524,584.3989400863647
SF-SFD average,0.1915656531970695,0.0,0.0,0.1915656531970695,
LHS,0.1684875607690035,0.8663768653569287,4.712587625544409,240.1472040870897,
Sobol,0.13856653970714383,0.8812555407627234,5.423492625874334,196.3317503204263,
Random best,0.1801629332372423,0.789737945710339,4.695205722885601,262.25770270978495,
Random average,0.20392914702994638,0.779162509392963,4.63870379123666,297.772656954232,

Sample size: 500


The dimension of the input space is: 20
Sf-sfd,0.14308501106965466,0.0,0.0,0.14308501106965466,860.2823603153229
SF-SFD average,0.15524000885370787,0.0,0.0,0.15524000885370787,
LHS,0.13125526647016628,0.7374253257080337,5.442399817486238,216.5564339889278,
Sobol,0.10522325515463482,0.7967696774760649,6.2385677548297345,170.5400379704037,
Random best,0.1451710578677501,0.789737945710339,5.476694122264166,236.14265897449795,
Random average,0.16275937794765155,0.7549698363378627,5.320981934508452,267.3264418100435,
