Dimension: 20

Sample seed: 1

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 20
Sf-sfd,0.598445891440071,0.0,0.0,0.598445891440071,217.8203239440918
SF-SFD average,0.6483089089360681,0.0,0.0,0.6483089089360681,
LHS,0.6618768131560975,0.9578240180219246,1.719419393498137,461.2088760448214,
Sobol,0.8617777281271719,1.0250762166785454,2.1959189734392277,587.5966666144548,
Random best,0.7219014606505043,0.9893227018691224,1.6383222921549685,498.7304464167568,
Random average,0.823295610618867,0.9145737980765475,1.753089374313921,580.6205702670362,

Sample size: 200


The dimension of the input space is: 20
Sf-sfd,0.3370737593497548,0.0,0.0,0.3370737593497548,745.8399407863617
SF-SFD average,0.36090245117835124,0.0,0.0,0.36090245117835124,
LHS,0.33851173812904634,0.9417178082084798,2.936814440746896,334.51217516500867,
Sobol,0.3330679327919226,0.9527086693180398,3.642890053011314,327.2803689275619,
Random best,0.36765917111503743,0.9203156535982167,2.8746525942344476,365.59889692708316,
Random average,0.4065770468270501,0.8424071726301466,2.9388735821833256,413.0432339210768,

Sample size: 300


The dimension of the input space is: 20
Sf-sfd,0.23300841626228674,0.0,0.0,0.23300841626228674,1241.794869184494
SF-SFD average,0.2498179498265118,0.0,0.0,0.2498179498265118,
LHS,0.22011744964635582,0.8291025444969717,3.806452892209581,274.732277427231,
Sobol,0.19787171571604656,0.8931826624799025,4.465677495884412,242.15606597830666,
Random best,0.2305161286527886,0.7926621095107151,3.891837174900873,290.51653002420267,
Random average,0.27010975327644277,0.7995714009457131,3.875185442028643,339.79866418489917,

Sample size: 400


The dimension of the input space is: 20
Sf-sfd,0.17197520989687654,0.0,0.0,0.17197520989687654,2879.6082515716553
SF-SFD average,0.1873306493667445,0.0,0.0,0.1873306493667445,
LHS,0.16514117693261898,0.8484696464848779,4.7178755208581915,236.5433529534152,
Sobol,0.13856653970714383,0.8812555407627234,5.423492625874335,196.3317503204263,
Random best,0.1819689615357074,0.7435197456512374,4.615495485257077,268.26538913277534,
Random average,0.202926896040942,0.7718428649237488,4.670354623749027,296.8406550169144,

Sample size: 500


The dimension of the input space is: 20
Sf-sfd,0.14294583074526646,0.0,0.0,0.14294583074526646,3660.561321258545
SF-SFD average,0.1546365401511496,0.0,0.0,0.1546365401511496,
LHS,0.13128288026981672,0.833311567726649,5.369404929704213,211.0757505342037,
Sobol,0.10522325515463482,0.7967696774760649,6.238567754829734,170.5400379704037,
Random best,0.14681605017899813,0.7632981455047242,5.3986168635486145,240.57573046884022,
Random average,0.16323660617207103,0.7505809433139231,5.335393637955853,268.3838219264892,
