Dimension: 30

Sample seed: 8

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 30
Sf-sfd,3.5236954341238853,0.0,0.0,3.5236954341238853,357.8330867290497
SF-SFD average,3.615077105360047,0.0,0.0,3.615077105360047,
LHS,7.211356417225767,1.368035045260825,1.5201524507528286,8844.804818439916,
Sobol,25.54997713477109,1.3191794324503396,1.8787313624843134,31671.80252845468,
Random best,6.664228496103936,1.2677556843792395,1.402728232518237,8376.510208044749,
Random average,7.950895104678195,1.3227870561242907,1.4299191668211213,9859.387354939714,

Sample size: 200


The dimension of the input space is: 30
Sf-sfd,2.3646453743375258,0.0,0.0,2.3646453743375258,601.9019246101379
SF-SFD average,2.4311015915332903,0.0,0.0,2.4311015915332903,
LHS,3.8193275360503236,1.288030513762466,2.679893655567236,6745.308036855706,
Sobol,8.050363747914568,1.2144229074119424,3.323504401863026,14445.464516061958,
Random best,3.6452365013577115,1.270689575225533,2.737529909275087,6463.611468794649,
Random average,3.9798061015623722,1.2473868704554174,2.6427208518847727,7095.939030335164,

Sample size: 300


The dimension of the input space is: 30
Sf-sfd,1.7741236465695103,0.0,0.0,1.7741236465695103,1033.466225862503
SF-SFD average,1.8161661850670632,0.0,0.0,1.8161661850670632,
LHS,2.50086509472267,1.264967683136098,3.5649958864886515,5436.222295559278,
Sobol,4.221087106170131,1.2144229074119424,4.390178257264977,9270.78533455378,
Random best,2.4213244151943485,1.2768771747915182,3.373254838068229,5250.390675546947,
Random average,2.6496082794109515,1.196911750338432,3.571573081431188,5852.325190271582,

Sample size: 400


The dimension of the input space is: 30
Sf-sfd,1.4515721425222061,0.0,0.0,1.4515721425222061,1530.3596811294556
SF-SFD average,1.4901370565036807,0.0,0.0,1.4901370565036807,
LHS,1.8358165013357155,1.2023969793261793,4.435209800716523,4673.873882487628,
Sobol,2.767349165009117,1.1453342159861435,5.37492912273001,7128.279685265719,
Random best,1.8130990695806783,1.2616798222144245,4.190213454878098,4553.8946011430135,
Random average,1.9867851586998106,1.1625734277216797,4.33856674479598,5105.908459549858,

Sample size: 500


The dimension of the input space is: 30
Sf-sfd,1.225737384203791,0.0,0.0,1.225737384203791,1485.068371295929
SF-SFD average,1.2568413938776994,0.0,0.0,1.2568413938776994,
LHS,1.5572437096493115,1.219857874315948,5.13015766056713,4413.36587829736,
Sobol,2.0117619719676476,1.1453342159861435,6.127453655458674,5792.622361555015,
Random best,1.4760527778034689,1.1419093279183385,5.153936834969312,4259.703225135861,
Random average,1.5900260759091507,1.1436290862964973,5.027155298308457,4587.297566181603,
