Dimension: 30

Sample seed: 9

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 30
Sf-sfd,3.75202395985282,1.1357122646720357,1.2524460996585496,4866.436915668736,179.5246934890747
SF-SFD average,3.844928791694945,1.0967780388773276,1.1713744193966904,5033.065333865896,
LHS,7.464502848995098,1.353965823264636,1.4291113564616273,9189.4399396989,
Sobol,25.54997713477109,1.3191794324503396,1.8787313624843134,31671.80252845468,
Random best,6.753669086269779,1.2837660586711732,1.2792617608840198,8460.141093424058,
Random average,7.956361019560607,1.3125509553852763,1.4153043040816002,9891.771955517102,

Sample size: 200


The dimension of the input space is: 30
Sf-sfd,2.3493852132280804,1.1067149789657122,2.3286869826240406,4332.437971550294,431.2688252925873
SF-SFD average,2.414421780358878,1.0721490646625504,2.264042106388237,4488.294001085517,
LHS,3.702931568955437,1.1492254840406662,2.6653331928924624,6756.662826459184,
Sobol,8.050363747914568,1.2144229074119424,3.323504401863025,14445.464516061958,
Random best,3.6436624517078275,1.2861929036566009,2.688800412907077,6437.752981842508,
Random average,3.983296112352661,1.2335741727686598,2.6211751592446206,7127.029051453096,

Sample size: 300


The dimension of the input space is: 30
Sf-sfd,1.7772083343209708,1.1373736527111875,3.061425045928483,3984.087132273302,723.5983729362488
SF-SFD average,1.8093543178436204,1.0777693630185707,3.167557860707896,4111.057244284834,
LHS,2.4567784295233324,1.181376683279497,3.6262664015923103,5445.721281085119,
Sobol,4.221087106170131,1.2144229074119424,4.390178257264976,9270.78533455378,
Random best,2.5165907606542817,1.3336128058374745,3.4718358026491174,5382.228657894891,
Random average,2.665029413088356,1.1904745697880685,3.555879293879668,5895.542758278419,

Sample size: 400


The dimension of the input space is: 30
Sf-sfd,1.5177870912999811,1.2073185354071283,3.970563900685531,3862.7534021112333,851.4868836402893
SF-SFD average,1.5361854534833184,1.0897286483871238,4.0377581307083386,4016.7213735891337,
LHS,1.8903062337351226,1.1470244576282436,4.391379712146152,4875.298472784109,
Sobol,2.767349165009117,1.1453342159861435,5.3749291227300136,7128.279685265719,
Random best,1.8666949516846927,1.2425442392342436,4.174885383660486,4709.9130856803995,
Random average,1.998306720454786,1.1621745571693234,4.33254543848797,5136.325331737286,

Sample size: 500


The dimension of the input space is: 30
Sf-sfd,1.2345301224333447,1.0814833404387727,4.7790308353918,3614.3908090192094,1195.3800642490387
SF-SFD average,1.2725699615471975,1.0791628214011173,4.697298992613823,3728.065813670246,
LHS,1.4946908424962704,1.251062099647672,5.071123352265431,4205.410211277806,
Sobol,2.0117619719676476,1.1453342159861435,6.127453655458676,5792.622361555015,
Random best,1.5088209784670195,1.220440361074544,5.04760368492828,4276.076759339557,
Random average,1.5992564836095948,1.1534138985508706,5.020176022936985,4603.832386359484,
