Dimension: 5

Sample seed: 2

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 5
Sf-sfd,0.008387021541531592,0.0,0.0,0.008387021541531592,60.433842420578
SF-SFD average,0.01402183995512229,0.0,0.0,0.01402183995512229,
LHS,0.004528849886934916,0.1505724737691053,2.476174810199414,0.44885759006467835,
Sobol,0.0017136747534114427,0.20085875206535064,2.8042646847660126,0.16460393682354937,
Random best,0.007657162468687195,0.13170906243377056,2.6526450897343294,0.7629277258392361,
Random average,0.015866744038848992,0.12438204942661409,2.4943228126339747,1.5921331711731552,

Sample size: 200


The dimension of the input space is: 5
Sf-sfd,0.003910587358519457,0.0,0.0,0.003910587358519457,134.98730063438416
SF-SFD average,0.0071134284278990614,0.0,0.0,0.0071134284278990614,
LHS,0.0019394178566760623,0.09076098742495572,3.7578697188617856,0.2785669802934658,
Sobol,0.0006098875183773167,0.1797299542238647,4.016895690759145,0.08364299975304491,
Random best,0.0040933288019546765,0.08542614364004116,3.7343991532168657,0.5896112157943425,
Random average,0.00784471913832789,0.09085002264017053,3.715011390317267,1.1275896767206945,

Sample size: 300


The dimension of the input space is: 5
Sf-sfd,0.002640520062006546,0.0,0.0,0.002640520062006546,219.2818410396576
SF-SFD average,0.004946038966568278,0.0,0.0,0.004946038966568278,
LHS,0.0014642680559333598,0.1104615803629868,4.652835926531437,0.25506497608061524,
Sobol,0.00028543108358913827,0.14101778911081794,4.934870628721835,0.048836649547471155,
Random best,0.002845069087397345,0.08751728828969416,4.732728095837914,0.5004517539398518,
Random average,0.00521859041565683,0.08006661557846607,4.652159440714831,0.9220982075762509,

Sample size: 400


The dimension of the input space is: 5
Sf-sfd,0.0020183127733646167,0.0,0.0,0.0020183127733646167,255.90265560150146
SF-SFD average,0.003573142860832968,0.0,0.0,0.003573142860832968,
LHS,0.0010313194874391751,0.06484427769835316,5.412708673195275,0.2118022570455317,
Sobol,0.00016317544690203079,0.10635119835985923,5.744176664378698,0.03275554688059073,
Random best,0.0020842082725145428,0.08983704349075397,5.482627381506321,0.42279438033089956,
Random average,0.0037740830128532134,0.07314849448239591,5.418349373058933,0.7720960562776835,

Sample size: 500


The dimension of the input space is: 5
Sf-sfd,0.0017165865194666008,0.0,0.0,0.0017165865194666008,376.03255677223206
SF-SFD average,0.002785053144233788,0.0,0.0,0.002785053144233788,
LHS,0.0006920832042986991,0.0475869288372932,6.125755857076072,0.16006051810727773,
Sobol,9.76033240345231e-05,0.10635119835985923,6.429522869361541,0.02190379752110318,
Random best,0.0016542491080746569,0.07118826241357709,6.187023214642904,0.3782386810076895,
Random average,0.0030471742509452214,0.0670366528633262,6.103776547094604,0.6986536591349338,
