Dimension: 15

Sample seed: 6

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 15
Sf-sfd,0.19451180465315732,0.0,0.0,0.19451180465315732,111.33898901939392
SF-SFD average,0.2225405251437636,0.0,0.0,0.2225405251437636,
LHS,0.17247389355741616,0.7532034639289021,2.0240567379491057,79.62298187053472,
Sobol,0.16445867365120526,0.8442923604082593,2.3154650796825704,73.56085493683923,
Random best,0.21330733535358792,0.7137427276767316,1.9535012986380693,99.76693628835356,
Random average,0.253586031402471,0.6643944491405172,1.9410561611353663,120.48228933832296,

Sample size: 200


The dimension of the input space is: 15
Sf-sfd,0.10251666605417586,0.0,0.0,0.10251666605417586,198.97197604179382
SF-SFD average,0.11932658455132344,0.0,0.0,0.11932658455132344,
LHS,0.08406014708491227,0.6703819164935625,3.301937383283578,56.219389983440735,
Sobol,0.06594801569633324,0.7276013238879088,3.814931797358357,43.211571343359985,
Random best,0.1075987869868742,0.6880835473692735,3.1616564114247545,71.61234197888778,
Random average,0.12614163527284528,0.5978846043778101,3.152436863158589,86.33440560806122,

Sample size: 300


The dimension of the input space is: 15
Sf-sfd,0.06934408602593356,0.0,0.0,0.06934408602593356,371.8753685951233
SF-SFD average,0.07968584525619346,0.0,0.0,0.07968584525619346,
LHS,0.056918515931820846,0.5427395119703943,4.145325662562784,48.461436654578385,
Sobol,0.03954833890970866,0.5866889712399658,4.709186516459299,33.154501642785526,
Random best,0.07024899694232323,0.6279140461233135,4.058066499842183,58.30140077244033,
Random average,0.08336782057534223,0.5625277759303734,4.071674839138634,70.59270378982681,

Sample size: 400


The dimension of the input space is: 15
Sf-sfd,0.04926908307705613,0.0,0.0,0.04926908307705613,448.2339367866516
SF-SFD average,0.061148129342721264,0.0,0.0,0.061148129342721264,
LHS,0.045904081351193504,0.5773474466864047,4.694465307573054,44.674748085651544,
Sobol,0.027627598824668365,0.5866889712399658,5.631197968044664,26.72645667768653,
Random best,0.05283177333671141,0.5670604163296122,4.902264216809892,51.54111272951175,
Random average,0.06271240282543969,0.540455072832278,4.853781381938853,61.690425077621896,

Sample size: 500


The dimension of the input space is: 15
Sf-sfd,0.04327386476035988,0.0,0.0,0.04327386476035988,520.6212477684021
SF-SFD average,0.04903924039983336,0.0,0.0,0.04903924039983336,
LHS,0.035398043838938076,0.5908100518375747,5.524583395484096,38.32693993057624,
Sobol,0.020737810381625366,0.5866889712399658,6.280348323958174,22.430380053544443,
Random best,0.04244704583931602,0.5196940751410916,5.655235916115494,46.936405510148724,
Random average,0.050003202070748216,0.5321710679840743,5.536139550440566,55.11698938182488,
