Dimension: 5

Sample seed: 5

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 5
Sf-sfd,0.008871075441078569,0.0,0.0,0.008871075441078569,38.21674084663391
SF-SFD average,0.014480041485811739,0.0,0.0,0.014480041485811739,
LHS,0.00461961665342514,0.1519606884113567,2.4883626995662538,0.45743143648982304,
Sobol,0.0017136747534114427,0.20085875206535064,2.804264684766012,0.16460393682354937,
Random best,0.007703163072106278,0.1328762778378952,2.581163508367191,0.7682434115779808,
Random average,0.015274939383996352,0.1268503163834231,2.4752715089534694,1.5317260277656306,

Sample size: 200


The dimension of the input space is: 5
Sf-sfd,0.0038965943568403105,0.0,0.0,0.0038965943568403105,84.33698534965515
SF-SFD average,0.0072787434369554,0.0,0.0,0.0072787434369554,
LHS,0.001956936713752633,0.1002608187472802,3.79345201400685,0.2796898776068989,
Sobol,0.0006098875183773167,0.1797299542238647,4.016895690759145,0.08364299975304491,
Random best,0.00481263720195102,0.06462034001517668,3.7528609662433174,0.6997352815153485,
Random average,0.007723030063525764,0.09362323739705959,3.699696721966011,1.1085610818562075,

Sample size: 300


The dimension of the input space is: 5
Sf-sfd,0.00281608141095413,0.0,0.0,0.00281608141095413,125.99544167518616
SF-SFD average,0.004865564818006748,0.0,0.0,0.004865564818006748,
LHS,0.0013232680093542282,0.06813485953073774,4.612403654153482,0.23520974106038517,
Sobol,0.00028543108358913827,0.14101778911081794,4.9348706287218365,0.048836649547471155,
Random best,0.0029160947309321283,0.09075342036258266,4.796663479055925,0.5117726964908078,
Random average,0.005056873913521755,0.07979377787973083,4.610708000194566,0.8937664709642533,

Sample size: 400


The dimension of the input space is: 5
Sf-sfd,0.0023671940521294843,0.0,0.0,0.0023671940521294843,152.78946661949158
SF-SFD average,0.0035797810058849776,0.0,0.0,0.0035797810058849776,
LHS,0.0009375348774922632,0.039432665307618055,5.540440819436916,0.19453211490833966,
Sobol,0.00016317544690203079,0.10635119835985923,5.744176664378698,0.03275554688059073,
Random best,0.0020406011356790543,0.06125930707110094,5.570405601140817,0.4190707063237471,
Random average,0.0038221829307399967,0.07055579139544003,5.411137822243456,0.7826389848573447,

Sample size: 500


The dimension of the input space is: 5
Sf-sfd,0.0017847401771349247,0.0,0.0,0.0017847401771349247,203.6365931034088
SF-SFD average,0.0029127101297762997,0.0,0.0,0.0029127101297762997,
LHS,0.0007230571598508817,0.03614978982907448,6.330262494618521,0.16777259488748691,
Sobol,9.76033240345231e-05,0.10635119835985923,6.429522869361541,0.02190379752110318,
Random best,0.0015356875861973762,0.04215236176636323,6.16516652288092,0.35591305514623256,
Random average,0.003042051681288902,0.06479559278781885,6.095891086876723,0.6980822738901259,
