Dimension: 25

Sample seed: 3

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 25
Sf-sfd,1.5330650665560341,0.0,0.0,1.5330650665560341,541.2287735939026
SF-SFD average,1.6007756804398507,0.0,0.0,1.6007756804398507,
LHS,2.253982031528274,1.0528528468370448,1.7088942650849008,2208.996001379904,
Sobol,4.477601097564865,1.082982715697716,1.9239319053270887,4350.966687269746,
Random best,2.2006866581434075,1.1900787681670038,1.5700363878608878,2082.9468255432525,
Random average,2.593697128278535,1.1185932483672092,1.5675118012582965,2501.045833803091,

Sample size: 200


The dimension of the input space is: 25
Sf-sfd,0.9475468943841525,0.0,0.0,0.9475468943841525,969.9757268428802
SF-SFD average,0.9899818991889935,0.0,0.0,0.9899818991889935,
LHS,1.141274292580075,0.967030227351689,2.8157163147636233,1614.3489651367706,
Sobol,1.5756947512592845,1.082982715697716,3.3842006976787617,2161.252495437795,
Random best,1.1480161632943062,1.028621915390812,2.816475177566647,1599.0819304449617,
Random average,1.2960943976752477,1.0382650009261294,2.795309476836652,1801.1216235145614,

Sample size: 300


The dimension of the input space is: 25
Sf-sfd,0.6874148013467982,0.0,0.0,0.6874148013467982,1911.349651813507
SF-SFD average,0.7171165795964439,0.0,0.0,0.7171165795964439,
LHS,0.748514732992577,1.0179009275494397,3.8039156111638563,1279.3253853608592,
Sobol,0.8857802362613008,1.082982715697716,4.397848676355796,1487.1291649464479,
Random best,0.7920173012353748,1.07547362526584,3.728271407468084,1334.3416992523994,
Random average,0.8546918250466203,0.9980772356776688,3.7028149668484183,1468.3135753192657,

Sample size: 400


The dimension of the input space is: 25
Sf-sfd,0.5358784318420549,0.0,0.0,0.5358784318420549,2433.254560470581
SF-SFD average,0.5584003959208412,0.0,0.0,0.5584003959208412,
LHS,0.5704974033826833,0.9576741109116906,4.486166259027795,1142.7225002645841,
Sobol,0.6033066477647218,1.082982715697716,5.380177711712296,1168.8670489421609,
Random best,0.5961261907756947,1.0365631052943454,4.4886111053203415,1170.7489894261746,
Random average,0.6432579864611708,0.9796447989398449,4.493847400047721,1281.322920912639,

Sample size: 500


The dimension of the input space is: 25
Sf-sfd,0.4457802006855367,0.0,0.0,0.4457802006855367,3444.4894077777863
SF-SFD average,0.4625761680868345,0.0,0.0,0.4625761680868345,
LHS,0.46316499370116215,1.0133563728428991,5.282694907775203,1022.4558597707284,
Sobol,0.4514388018751747,1.0089190418743421,6.134293322403594,996.1446887829223,
Random best,0.4743389176633759,1.005361206391533,5.1372889158922455,1049.4982679493473,
Random average,0.51694620452874,0.9570130250917737,5.177233843058487,1157.4899671776056,
