Dimension: 25

Sample seed: 6

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 25
Sf-sfd,1.585561562123508,1.0688801115251982,1.346187264410053,1549.8673187232107,141.4709620475769
SF-SFD average,1.6385752156041773,0.9918738845480156,1.3655451570923827,1632.9250880311256,
LHS,2.280104955813748,1.0544201013814856,1.474424432954904,2235.8196520808956,
Sobol,4.477601097564865,1.082982715697716,1.9239319053270885,4350.966687269746,
Random best,2.199863656111024,1.2185961635131926,1.564037608852855,2066.632656422484,
Random average,2.5707207726283796,1.120603601716761,1.5638703502830151,2477.6972303185707,

Sample size: 200


The dimension of the input space is: 25
Sf-sfd,0.9536266855926936,1.045807145628276,2.485743625950653,1323.8142476901282,349.0721957683563
SF-SFD average,0.9857846212070952,0.9532462682221322,2.5404322278960048,1400.2400383672325,
LHS,1.1146007665659088,1.1358704518826883,2.935480148561035,1510.0979314088206,
Sobol,1.5756947512592845,1.082982715697716,3.3842006976787613,2161.252495437795,
Random best,1.1684395040373872,1.0476654069583913,2.728265000104211,1620.1328377805885,
Random average,1.293839307499469,1.0547492384406063,2.7792609487849766,1790.565134915337,

Sample size: 300


The dimension of the input space is: 25
Sf-sfd,0.6864048126301086,1.0285660156570942,3.47440377124446,1170.9262973695916,513.7069132328033
SF-SFD average,0.7267854268549887,0.9719095212201347,3.5263228620627913,1257.3414517910903,
LHS,0.7650624134883977,1.0443659926577626,3.636657140066945,1299.4236871574492,
Sobol,0.8857802362613008,1.082982715697716,4.397848676355794,1487.1291649464479,
Random best,0.7834283477180994,1.0778890530224532,3.677150247999157,1319.2163007214108,
Random average,0.8550775021061636,1.0198595089989693,3.7144788726203446,1460.940381095547,

Sample size: 400


The dimension of the input space is: 25
Sf-sfd,0.5394901114615376,1.013372530202749,4.163089565026401,1066.4193003805162,816.0795021057129
SF-SFD average,0.5586683636527875,0.9465486115802101,4.2701827031856405,1122.6109187310158,
LHS,0.5809215179471057,1.0554342577939848,4.351379065023493,1135.7704476320846,
Sobol,0.6033066477647218,1.082982715697716,5.380177711712297,1168.8670489421609,
Random best,0.5891598530876214,0.9694477774847551,4.4186752140986005,1176.827016694204,
Random average,0.6432812945284936,0.9919972881750604,4.4748292619607675,1277.570130584631,

Sample size: 500


The dimension of the input space is: 25
Sf-sfd,0.4398355213916405,0.9634545427848986,4.971155197721123,983.661889602724,1096.241990327835
SF-SFD average,0.4536097758461179,0.9330269666665096,4.975438977823536,1022.1334052577897,
LHS,0.4562979974389174,0.8795315159511079,5.248376106684271,1041.1744458231221,
Sobol,0.4514388018751747,1.0089190418743421,6.134293322403593,996.1446887829223,
Random best,0.47876362126596383,0.9899653838277657,5.167054457262012,1063.3136224555406,
Random average,0.5153534810768037,0.9585065477187302,5.171823150257686,1153.5630315361025,
