Dimension: 20

Sample seed: 0

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 20
Sf-sfd,0.6094073534601714,0.0,0.0,0.6094073534601714,194.31551480293274
SF-SFD average,0.6527524645058043,0.0,0.0,0.6527524645058043,
LHS,0.6875738718986399,0.8709645423591288,1.7046464950150404,490.99344792704125,
Sobol,0.8617777281271719,1.0250762166785454,2.1959189734392277,587.5966666144548,
Random best,0.6977081316303373,0.9532561861399459,1.7548057535239086,486.72189264117554,
Random average,0.8161520371831914,0.9196032420707124,1.7339405178092417,574.7607477078191,

Sample size: 200


The dimension of the input space is: 20
Sf-sfd,0.34663677044700236,0.0,0.0,0.34663677044700236,500.1881260871887
SF-SFD average,0.372936402340217,0.0,0.0,0.372936402340217,
LHS,0.34000895556074173,0.8948121985260973,2.947939200570303,340.4422023657566,
Sobol,0.3330679327919226,0.9527086693180398,3.642890053011314,327.2803689275619,
Random best,0.3473711635783925,0.8306615325618988,2.975529129059421,354.01609250883115,
Random average,0.4080551665848381,0.8351285262676318,2.9562630935421583,415.39481604244116,

Sample size: 300


The dimension of the input space is: 20
Sf-sfd,0.22702251888644387,0.0,0.0,0.22702251888644387,1149.1887288093567
SF-SFD average,0.2508930868273707,0.0,0.0,0.2508930868273707,
LHS,0.22233481029274849,0.8154145427443762,4.051551388945623,278.3431857633623,
Sobol,0.19787171571604656,0.8931826624799025,4.465677495884412,242.15606597830666,
Random best,0.2482057416883503,0.8634914661357058,4.073659432057137,306.62610869043664,
Random average,0.2695123442000117,0.8015123185272088,3.880847050614266,338.8478507204461,

Sample size: 400


The dimension of the input space is: 20
Sf-sfd,0.1690882428778835,0.0,0.0,0.1690882428778835,1860.4252488613129
SF-SFD average,0.18934715973101185,0.0,0.0,0.18934715973101185,
LHS,0.16529157105812242,0.7472837797230957,4.646916963574477,243.4136223824603,
Sobol,0.13856653970714383,0.8812555407627234,5.423492625874335,196.3317503204263,
Random best,0.18340243227163633,0.8413813259143741,4.765694317119749,263.18226746326053,
Random average,0.20382700382312316,0.7679543135281108,4.6549012683547035,298.51576750775405,

Sample size: 500


The dimension of the input space is: 20
Sf-sfd,0.14469125606030264,0.0,0.0,0.14469125606030264,2405.462591648102
SF-SFD average,0.1533652378753045,0.0,0.0,0.1533652378753045,
LHS,0.1342243361956772,0.7825879915791519,5.404430106450047,218.7958833297185,
Sobol,0.10522325515463482,0.7967696774760649,6.238567754829734,170.5400379704037,
Random best,0.14926339773770092,0.7897570699091699,5.391413624268998,242.8450810591764,
Random average,0.1627292765318141,0.7522654721011125,5.346479719066242,267.46997727189256,
