Dimension: 5

Sample seed: 9

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 5
Sf-sfd,0.008785889000895608,0.1046101636995204,2.605688267549606,0.8875415107511153,34.22930836677551
SF-SFD average,0.014588772192279723,0.12347260713448743,2.5195615955744186,1.4631833939955512,
LHS,0.004814591580329486,0.14125056465081753,2.3626140682299672,0.4804559201723559,
Sobol,0.0017136747534114427,0.20085875206535064,2.804264684766014,0.16460393682354937,
Random best,0.008689679021466334,0.12519326800367472,2.451203016690447,0.8721791992634467,
Random average,0.016532132483582422,0.12703239558140203,2.47888913429972,1.6582154398800106,

Sample size: 200


The dimension of the input space is: 5
Sf-sfd,0.004268084043062226,0.12359824975914759,3.821751021418471,0.6030838332191436,60.37110209465027
SF-SFD average,0.007112653840771346,0.09147239079073544,3.7270233404350965,1.0218330958869863,
LHS,0.0019385755443024344,0.06869275632976293,3.764910605401707,0.281280715805393,
Sobol,0.0006098875183773167,0.1797299542238647,4.016895690759145,0.08364299975304491,
Random best,0.004121372059027184,0.10005739831853304,3.507151321980434,0.5916124256541065,
Random average,0.008125207170917846,0.09540700848943263,3.6835179779783953,1.166049505606037,

Sample size: 300


The dimension of the input space is: 5
Sf-sfd,0.0027562562011256286,0.0632796586018347,4.71712020853472,0.49039223352140415,109.19508147239685
SF-SFD average,0.004685118261708455,0.07689392296628832,4.634141764298589,0.8290641723146143,
LHS,0.0014196330894074016,0.05604979176634502,4.694423591281682,0.2534913655104798,
Sobol,0.00028543108358913827,0.14101778911081794,4.934870628721834,0.048836649547471155,
Random best,0.002688468437939795,0.07829117742077628,4.4744494007956215,0.47643448596589927,
Random average,0.005395499941211373,0.07960562390773827,4.597935850915634,0.9542783835728786,

Sample size: 400


The dimension of the input space is: 5
Sf-sfd,0.00179616459721621,0.0700193533685215,5.518166840011168,0.3675891167097549,139.61753916740417
SF-SFD average,0.0035392489842413096,0.07317590422404317,5.390585286619794,0.7240266292461922,
LHS,0.0007960410947207563,0.08840142056476301,5.518308093627435,0.1615288140224106,
Sobol,0.00016317544690203079,0.10635119835985923,5.744176664378697,0.03275554688059073,
Random best,0.002132483923487749,0.08155485209661392,5.393913441883312,0.4346643159069078,
Random average,0.0038940230257211083,0.07158488855207129,5.3596020821714685,0.7980280086016827,

Sample size: 500


The dimension of the input space is: 5
Sf-sfd,0.0016559651227148198,0.052369574729875,5.9728807222009435,0.3826967415927073,212.73394560813904
SF-SFD average,0.0028428592109081205,0.06377915187881215,6.0943507229552365,0.6530144846115274,
LHS,0.0009146932142585218,0.04479040147447366,5.985687021286259,0.21209538466097652,
Sobol,9.76033240345231e-05,0.10635119835985923,6.429522869361542,0.021903797521103177,
Random best,0.0016059220488437997,0.07210616956799445,6.160688676772747,0.36712468482588073,
Random average,0.0031214433256338014,0.06452292789727482,6.0785310461144855,0.7169624399185992,
