Dimension: 10

Sample seed: 7

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 10
Sf-sfd,0.048960722533351486,0.0,0.0,0.048960722533351486,79.8207585811615
SF-SFD average,0.06588273826525053,0.0,0.0,0.06588273826525053,
LHS,0.038851039412439725,0.4743256169617862,1.9931801186555846,10.234825813770666,
Sobol,0.02399215777984809,0.5112265046557152,2.6690477109637203,6.190680481952726,
Random best,0.050078987466155134,0.44667220686077724,2.3448018102502894,13.280596359619254,
Random average,0.07140095652213102,0.4079258180016797,2.194682088146502,19.24829212933945,

Sample size: 200


The dimension of the input space is: 10
Sf-sfd,0.02521086768125036,0.0,0.0,0.02521086768125036,132.79864859580994
SF-SFD average,0.03347239772674455,0.0,0.0,0.03347239772674455,
LHS,0.018317777383253908,0.3874372378892522,3.465972568186059,7.012121660424329,
Sobol,0.009976676208006463,0.3443265761099846,3.9288469801760244,3.8654349180136167,
Random best,0.025071047395118118,0.42303995547992934,3.4711790031294862,9.473805442002169,
Random average,0.03488493599229546,0.3496199629866383,3.374986473225279,13.546396176466372,

Sample size: 300


The dimension of the input space is: 10
Sf-sfd,0.01683808791176933,0.0,0.0,0.01683808791176933,203.9026620388031
SF-SFD average,0.022805091434715156,0.0,0.0,0.022805091434715156,
LHS,0.012736141729017714,0.4257167711242526,4.282694987566405,5.887490312842894,
Sobol,0.0057707200335297415,0.3443265761099846,4.865532266044495,2.7374715421183766,
Random best,0.01791604491725396,0.31415123649897075,4.462843887857944,8.610437277497445,
Random average,0.023855073042530733,0.3225785129046869,4.301821415003703,11.440815866559806,

Sample size: 400


The dimension of the input space is: 10
Sf-sfd,0.012910304473741085,0.0,0.0,0.012910304473741085,303.89576411247253
SF-SFD average,0.016960591174337396,0.0,0.0,0.016960591174337396,
LHS,0.009368999765239305,0.3477887810582399,5.010826284616737,5.141658923581424,
Sobol,0.0036581394522379185,0.3443265761099846,5.664594899508439,2.0032983682068672,
Random best,0.013481817362330784,0.3256302856294112,5.1898963404808915,7.450154319370591,
Random average,0.01806631347645577,0.3017491389690226,5.086687460015986,10.074121676499354,

Sample size: 500


The dimension of the input space is: 10
Sf-sfd,0.010129696444696634,0.0,0.0,0.010129696444696634,369.18862867355347
SF-SFD average,0.01350986553994422,0.0,0.0,0.01350986553994422,
LHS,0.007320052355105577,0.2642796834301238,5.740866346870413,4.62169826364115,
Sobol,0.00254276000924758,0.3443265761099846,6.3577632622380875,1.5566704365047768,
Random best,0.01064828218088909,0.31687524531630673,5.80136436343418,6.599210121972276,
Random average,0.014372881877611312,0.2891653500987273,5.773236280094812,8.995251390632708,
