Dimension: 30

Sample seed: 10

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 30
Sf-sfd,3.5779489968535296,1.1127358537084846,1.2476658658299193,4665.293033708137,195.95598030090332
SF-SFD average,3.711752824878887,1.0880211288638926,1.1626822374882713,4868.498848569578,
LHS,7.112837103760308,1.360065692668892,1.4916667666270647,8741.723276833189,
Sobol,25.54997713477109,1.3191794324503396,1.8787313624843134,31671.80252845468,
Random best,6.25781840728264,1.1760613233019916,1.370864402421375,8037.8733924167755,
Random average,8.008665794438452,1.331682489809474,1.4347471635868791,9908.723047946789,

Sample size: 200


The dimension of the input space is: 30
Sf-sfd,2.5234911310020784,1.1218738342923094,2.230505767497898,4638.44068883243,372.6849555969238
SF-SFD average,2.591052205204209,1.0999787848424294,2.327407605787067,4785.4209359142105,
LHS,3.743008276180996,1.2873127307434373,2.655389979495821,6612.037663173773,
Sobol,8.050363747914568,1.2144229074119424,3.323504401863025,14445.464516061958,
Random best,3.5192184002520612,1.231771516117424,2.4911765115083937,6301.573832597762,
Random average,3.9923269004252835,1.239400750389335,2.6412672643730177,7133.440807460941,

Sample size: 300


The dimension of the input space is: 30
Sf-sfd,1.7810108256899575,1.1478190301727578,3.282205135617098,3981.299437498063,1032.4925181865692
SF-SFD average,1.8192697116741283,1.0758543372649898,3.1755631032842304,4135.382963963148,
LHS,2.5141925087355244,1.1614386521850593,3.599113656509285,5599.146088859769,
Sobol,4.221087106170131,1.2144229074119424,4.390178257264976,9270.78533455378,
Random best,2.31533274429332,1.1725689678201534,3.423287998988299,5144.736749180339,
Random average,2.6492222588817116,1.1971658170223793,3.5604022444007626,5851.748733069732,

Sample size: 400


The dimension of the input space is: 30
Sf-sfd,1.4550369087442245,1.1326329933510286,3.963327122234181,3767.8711948167324,1010.4239249229431
SF-SFD average,1.4869010153955307,1.0823742688646394,3.9840871677093497,3894.8724924775292,
LHS,1.912662964019523,1.1708881338609247,4.382585636393088,4905.8457978726165,
Sobol,2.767349165009117,1.1453342159861435,5.3749291227300136,7128.279685265719,
Random best,1.8302222801276002,1.1725689678201534,4.265126338031583,4693.484352653106,
Random average,1.991430175617511,1.170684226920361,4.326619901186808,5108.65441518403,

Sample size: 500


The dimension of the input space is: 30
Sf-sfd,1.2312992386414798,1.1669846839957112,4.655333831063959,3535.468756869029,1399.8555245399475
SF-SFD average,1.2597933010066136,1.0850324725840785,4.695066189095969,3685.872290955142,
LHS,1.4969197482212113,1.2201291906713336,5.019120952351589,4242.839678901835,
Sobol,2.0117619719676476,1.1453342159861435,6.127453655458676,5792.622361555015,
Random best,1.4885956219104646,1.161513342795898,5.0106262560720625,4277.3951992081,
Random average,1.5922139409712366,1.1489455568207674,5.018159294249485,4588.403240067332,
