Dimension: 5

Sample seed: 0

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 5
Sf-sfd,0.008848772745559064,0.0,0.0,0.008848772745559064,69.14725422859192
SF-SFD average,0.014216970328952203,0.0,0.0,0.014216970328952203,
LHS,0.003632993658159611,0.12598640667750552,2.621912536380345,0.36319629494411565,
Sobol,0.0017136747534114427,0.20085875206535064,2.8042646847660126,0.16460393682354937,
Random best,0.00792432885158334,0.13833848717006572,2.476929087722322,0.7899806803874537,
Random average,0.01579866419487819,0.1241016138024435,2.5137938154539166,1.5842845458186017,

Sample size: 200


The dimension of the input space is: 5
Sf-sfd,0.004183258542833634,0.0,0.0,0.004183258542833634,132.953937292099
SF-SFD average,0.007056726708227396,0.0,0.0,0.007056726708227396,
LHS,0.0023273583778291584,0.12246608944403939,3.875127899268452,0.3287713607186705,
Sobol,0.0006098875183773167,0.1797299542238647,4.016895690759145,0.08364299975304491,
Random best,0.003761697498247507,0.08634585238262056,3.746836681539762,0.5415100907871448,
Random average,0.007777334769109968,0.09219993434064301,3.71102174694179,1.1164016105026198,

Sample size: 300


The dimension of the input space is: 5
Sf-sfd,0.002719698509405566,0.0,0.0,0.002719698509405566,205.7691102027893
SF-SFD average,0.004710859720612178,0.0,0.0,0.004710859720612178,
LHS,0.001258815672350977,0.08428797621371295,4.851415897131741,0.22143881218271938,
Sobol,0.00028543108358913827,0.14101778911081794,4.934870628721835,0.048836649547471155,
Random best,0.0030668922803949172,0.08634585238262056,4.6879431896782435,0.540060169775269,
Random average,0.00514707588474516,0.0791004161389392,4.64529488148217,0.9098123978623118,

Sample size: 400


The dimension of the input space is: 5
Sf-sfd,0.0020829145259062543,0.0,0.0,0.0020829145259062543,251.38684582710266
SF-SFD average,0.0037844107219334026,0.0,0.0,0.0037844107219334026,
LHS,0.0009893550194270961,0.07029678162462628,5.444257646835889,0.20260615910298507,
Sobol,0.00016317544690203079,0.10635119835985923,5.744176664378698,0.03275554688059073,
Random best,0.001935211043977203,0.08634585238262056,5.285109512966703,0.3940296669092915,
Random average,0.0038903376391905766,0.07151126383018293,5.416042426471734,0.7966063014931949,

Sample size: 500


The dimension of the input space is: 5
Sf-sfd,0.001752905207141886,0.0,0.0,0.001752905207141886,400.56608295440674
SF-SFD average,0.0028655713533413665,0.0,0.0,0.0028655713533413665,
LHS,0.0007152580062164127,0.07949944159491436,6.234346718251812,0.16284057029076565,
Sobol,9.76033240345231e-05,0.10635119835985923,6.429522869361541,0.02190379752110318,
Random best,0.0016113704544542529,0.07521306134706587,5.909398391124613,0.3687163197159293,
Random average,0.003034621220003638,0.06531546172309624,6.105207580393317,0.6965112265301385,
