Dimension: 25

Sample seed: 1

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 25
Sf-sfd,1.6083102262971645,0.0,0.0,1.6083102262971645,494.1007080078125
SF-SFD average,1.6666585736608648,0.0,0.0,1.6666585736608648,
LHS,2.2896814938125907,1.2806315529479284,1.6903493413406032,2114.646974639283,
Sobol,4.477601097564865,1.082982715697716,1.9239319053270887,4350.966687269746,
Random best,2.2514208032119516,1.1711902812776622,1.7205787228961809,2140.2336239390806,
Random average,2.592853882794988,1.1330538661095118,1.5666849081341223,2490.9087523825124,

Sample size: 200


The dimension of the input space is: 25
Sf-sfd,0.9473521862919361,0.0,0.0,0.9473521862919361,1294.2981832027435
SF-SFD average,0.98014797434794,0.0,0.0,0.98014797434794,
LHS,1.1986523281484907,1.1091745603282515,2.6084792579768066,1636.7182674671699,
Sobol,1.5756947512592845,1.082982715697716,3.3842006976787617,2161.252495437795,
Random best,1.1689829569739523,1.135991004961126,2.827358573288265,1584.2156893508243,
Random average,1.2832296395595415,1.054474100380013,2.778983946661346,1775.7488163211467,

Sample size: 300


The dimension of the input space is: 25
Sf-sfd,0.7065916109943124,0.0,0.0,0.7065916109943124,2320.2924706935883
SF-SFD average,0.7274586375899812,0.0,0.0,0.7274586375899812,
LHS,0.7584871302843297,1.0240359004050223,3.5657959316682937,1295.090592577355,
Sobol,0.8857802362613008,1.082982715697716,4.397848676355796,1487.1291649464479,
Random best,0.7713624958850822,1.036795697655703,3.754252251771394,1312.2719105608592,
Random average,0.8544769977230332,1.0104754690250752,3.7048733349933816,1463.4545782591092,

Sample size: 400


The dimension of the input space is: 25
Sf-sfd,0.5529030612162265,0.0,0.0,0.5529030612162265,3411.758470773697
SF-SFD average,0.5776986006893766,0.0,0.0,0.5776986006893766,
LHS,0.5918767143483574,1.0347203999823107,4.475835206004517,1162.9737393146625,
Sobol,0.6033066477647218,1.082982715697716,5.380177711712296,1168.8670489421609,
Random best,0.6014483512222535,1.0187676704744903,4.47724418088198,1186.5320238577835,
Random average,0.640276891124573,0.9856118537578658,4.47605557789498,1273.5722705763885,

Sample size: 500


The dimension of the input space is: 25
Sf-sfd,0.44357601438585537,0.0,0.0,0.44357601438585537,4521.551939964294
SF-SFD average,0.4613218324861395,0.0,0.0,0.4613218324861395,
LHS,0.4661459934817387,0.9357282932722709,5.169059784372321,1049.2892661669714,
Sobol,0.4514388018751747,1.0089190418743421,6.134293322403594,996.1446887829223,
Random best,0.47648417411078015,1.0164680261295156,5.190743908851928,1051.2120359650764,
Random average,0.5121762104085165,0.9635347639294551,5.154669405093162,1145.013999531333,
