Dimension: 25

Sample seed: 0

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 25
Sf-sfd,1.5812310868457837,0.0,0.0,1.5812310868457837,469.96903443336487
SF-SFD average,1.6478191586794242,0.0,0.0,1.6478191586794242,
LHS,2.2496739878122245,1.1870279668622343,1.4385746284207577,2132.1459872001096,
Sobol,4.477601097564865,1.082982715697716,1.9239319053270887,4350.966687269746,
Random best,2.1515842272105985,1.1155064619568376,1.6043900912623643,2076.044561174619,
Random average,2.5799764719244456,1.1255565490155346,1.5714554149217923,2482.8841427654133,

Sample size: 200


The dimension of the input space is: 25
Sf-sfd,0.9469135768297656,0.0,0.0,0.9469135768297656,1222.4975311756134
SF-SFD average,0.9914681316605906,0.0,0.0,0.9914681316605906,
LHS,1.1368186417287802,1.051760801791558,2.790377860475409,1574.3759035918645,
Sobol,1.5756947512592845,1.082982715697716,3.3842006976787617,2161.252495437795,
Random best,1.1696402545310463,1.1130550026213633,2.738022368896863,1594.9214984762016,
Random average,1.282361386474963,1.0494787079378283,2.7949854975391752,1776.9034517694317,

Sample size: 300


The dimension of the input space is: 25
Sf-sfd,0.6869259289300338,0.0,0.0,0.6869259289300338,2128.940773963928
SF-SFD average,0.7162886787701027,0.0,0.0,0.7162886787701027,
LHS,0.7603157743375899,1.0029520547228625,3.761294311858254,1304.5030132486997,
Sobol,0.8857802362613008,1.082982715697716,4.397848676355796,1487.1291649464479,
Random best,0.7749010020797202,1.0096270592520247,3.7358561807340274,1327.3858187092808,
Random average,0.8541062774239202,1.0206375304388018,3.7179983949278568,1458.9056497932895,

Sample size: 400


The dimension of the input space is: 25
Sf-sfd,0.5372474063470856,0.0,0.0,0.5372474063470856,2429.1150562763214
SF-SFD average,0.5587096846065324,0.0,0.0,0.5587096846065324,
LHS,0.5770840988596442,0.9246043871871081,4.523111715706224,1165.2853401408665,
Sobol,0.6033066477647218,1.082982715697716,5.380177711712296,1168.8670489421609,
Random best,0.5969365890161358,1.0571523592632814,4.4849732325088665,1166.2590431894207,
Random average,0.640889141085391,0.9877812608123747,4.489227195324833,1274.0788804922872,

Sample size: 500


The dimension of the input space is: 25
Sf-sfd,0.4366598158539663,0.0,0.0,0.4366598158539663,3265.650861263275
SF-SFD average,0.454601827620768,0.0,0.0,0.454601827620768,
LHS,0.45048891376614364,0.9666302028260559,5.067092202444787,1006.5205346549549,
Sobol,0.4514388018751747,1.0089190418743421,6.134293322403594,996.1446887829223,
Random best,0.4797119862071142,0.9678592476518351,5.036302947455882,1071.5461540123558,
Random average,0.5113017608355972,0.9636201720138284,5.157523015617512,1142.9812986670786,
