Dimension: 15

Sample seed: 8

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 15
Sf-sfd,0.19801475970500793,0.0,0.0,0.19801475970500793,102.36788606643677
SF-SFD average,0.22819897428555214,0.0,0.0,0.22819897428555214,
LHS,0.18770459960784525,0.5538149234367451,1.9130116289573453,92.26162638595648,
Sobol,0.16445867365120526,0.8442923604082593,2.3154650796825704,73.56085493683923,
Random best,0.20373877505185956,0.7504387352181959,1.8861974906346854,94.22754455392369,
Random average,0.24632443588931063,0.6897875949379828,1.9093191316694815,116.12773263677256,

Sample size: 200


The dimension of the input space is: 15
Sf-sfd,0.10398910159996255,0.0,0.0,0.10398910159996255,196.69454884529114
SF-SFD average,0.11889301270976191,0.0,0.0,0.11889301270976191,
LHS,0.08640329071746544,0.6072450735673052,3.310074918769458,58.92340367544842,
Sobol,0.06594801569633324,0.7276013238879088,3.814931797358357,43.211571343359985,
Random best,0.10349291605691491,0.617510295510669,3.195958962301031,70.39440804867921,
Random average,0.12481942185230034,0.6130753157088814,3.1352000569438734,85.03757505389862,

Sample size: 300


The dimension of the input space is: 15
Sf-sfd,0.06952304553442978,0.0,0.0,0.06952304553442978,325.22091913223267
SF-SFD average,0.0791700602149738,0.0,0.0,0.0791700602149738,
LHS,0.05679697648079163,0.445638648274613,4.1968920922396995,49.757904366477554,
Sobol,0.03954833890970866,0.5866889712399658,4.709186516459299,33.154501642785526,
Random best,0.07036675600862718,0.6528857021072895,4.196178833542742,57.91844081924492,
Random average,0.08202008790066681,0.5683212692238303,4.059715644135,69.31753072152542,

Sample size: 400


The dimension of the input space is: 15
Sf-sfd,0.0532462879305613,0.0,0.0,0.0532462879305613,394.7967345714569
SF-SFD average,0.062031552021887024,0.0,0.0,0.062031552021887024,
LHS,0.04439468107363753,0.5743931135716572,4.732789599405859,43.238889358311475,
Sobol,0.027627598824668365,0.5866889712399658,5.631197968044664,26.72645667768653,
Random best,0.054947452415610165,0.5694634863707384,4.981922294300143,53.55168155435183,
Random average,0.062472708299247184,0.5452887504400327,4.845674645238863,61.35612798674164,

Sample size: 500


The dimension of the input space is: 15
Sf-sfd,0.04259345577297324,0.0,0.0,0.04259345577297324,567.8550746440887
SF-SFD average,0.049405473558869754,0.0,0.0,0.049405473558869754,
LHS,0.03479361434385542,0.535636262962083,5.5204243976776395,38.306261755186355,
Sobol,0.020737810381625366,0.5866889712399658,6.280348323958174,22.430380053544443,
Random best,0.04295176676615542,0.5153058979245899,5.553838494252291,47.571283180662085,
Random average,0.04974361507365819,0.5212210941930632,5.541455735260168,54.999808049077345,
