Dimension: 10

Sample seed: 9

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 10
Sf-sfd,0.050388050874073276,0.4638836577662016,2.2962613050621727,13.284466092749671,59.46817326545715
SF-SFD average,0.06787236722801591,0.4104086376440157,2.1700005247428837,18.26927238171963,
LHS,0.0348924624627065,0.43104138979526646,2.325800307930543,9.308308160314951,
Sobol,0.02399215777984809,0.5112265046557152,2.6690477109637207,6.190680481952726,
Random best,0.056806899662322774,0.4786411487887012,2.030545541028866,14.935352223821472,
Random average,0.07218338951335182,0.4110403655989312,2.15555275559862,19.42759382266626,

Sample size: 200


The dimension of the input space is: 10
Sf-sfd,0.026521028600463126,0.36792021401788844,3.318856132217235,10.234670461647458,103.33641719818115
SF-SFD average,0.03289735525792551,0.34892523778024676,3.4095812310866984,12.774080964155784,
LHS,0.01834732932726002,0.3250499608556041,3.431059395876663,7.183160931383356,
Sobol,0.009976676208006463,0.3443265761099846,3.9288469801760257,3.8654349180136167,
Random best,0.026480621639632496,0.36060320844100735,3.4832170700397245,10.233641733481184,
Random average,0.035382306898237646,0.35445731902624594,3.3576386708599557,13.714009438569038,

Sample size: 300


The dimension of the input space is: 10
Sf-sfd,0.017169535133926495,0.35183024278022673,4.510870722889488,8.140183176897837,198.60411524772644
SF-SFD average,0.02231740681813619,0.318634742828977,4.260298411987277,10.719567289177656,
LHS,0.01213911035934423,0.338497975788927,4.373594578347741,5.787234928075604,
Sobol,0.0057707200335297415,0.3443265761099846,4.865532266044492,2.7374715421183766,
Random best,0.017137866616675268,0.3215284784686809,4.323997743864366,8.221870916040508,
Random average,0.023483916299767114,0.3321591741021468,4.285744734094222,11.22403019614884,

Sample size: 400


The dimension of the input space is: 10
Sf-sfd,0.013184097318316379,0.2925583111393123,5.062006342890461,7.375412550051798,287.84800934791565
SF-SFD average,0.017129357795863265,0.3003687263185509,5.055152824607048,9.55713550652664,
LHS,0.008930835561093975,0.32169579213339417,5.03582408308086,4.946001251534471,
Sobol,0.0036581394522379185,0.3443265761099846,5.664594899508441,2.0032983682068672,
Random best,0.013690756576760332,0.313668128676116,5.119758449845111,7.600255303193303,
Random average,0.01777774323706004,0.3099986880823963,5.071384761022306,9.882182105591594,

Sample size: 500


The dimension of the input space is: 10
Sf-sfd,0.009974225275362958,0.31353361147323,5.910872855128706,6.185615252224145,294.2370705604553
SF-SFD average,0.013642401225632969,0.2858173834543739,5.738993559441666,8.548883497298181,
LHS,0.008136462799433364,0.2873313437233623,5.882626204136945,5.092980688504756,
Sobol,0.00254276000924758,0.3443265761099846,6.35776326223809,1.5566704365047768,
Random best,0.010921626048002953,0.32416756856912,5.745551070329111,6.752996502822028,
Random average,0.01433981006024729,0.2921362064731449,5.73918883694864,8.965904330137176,
