Dimension: 30

Sample seed: 4

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 30
Sf-sfd,3.6004267250981012,0.0,0.0,3.6004267250981012,783.1358952522278
SF-SFD average,3.6973604206066737,0.0,0.0,3.6973604206066737,
LHS,7.481843291619535,1.2592553028018567,1.2326487750591286,9428.557608271023,
Sobol,25.54997713477109,1.3191794324503396,1.8787313624843134,31671.80252845468,
Random best,6.797362677583857,1.4211780032968047,1.4211379448416301,8231.946535737337,
Random average,8.074824063177902,1.3142309832529975,1.4280086777139636,10036.686197078943,

Sample size: 200


The dimension of the input space is: 30
Sf-sfd,2.3253888139181047,0.0,0.0,2.3253888139181047,1945.5222668647766
SF-SFD average,2.400069264506993,0.0,0.0,2.400069264506993,
LHS,3.7263026957907233,1.3372425644138684,2.5631277018866445,6505.50866584033,
Sobol,8.050363747914568,1.2144229074119424,3.3235044018630258,14445.464516061958,
Random best,3.5632528380357193,1.264971414813209,2.645762364984927,6328.206856704482,
Random average,4.00793203919994,1.2429596451611418,2.640652356591001,7154.2730682774245,

Sample size: 300


The dimension of the input space is: 30
Sf-sfd,1.764866001686464,0.0,0.0,1.764866001686464,2073.2122044563293
SF-SFD average,1.8023813721945854,0.0,0.0,1.8023813721945854,
LHS,2.485778749211402,1.1397403605367635,3.4107157252822033,5565.731953825932,
Sobol,4.221087106170131,1.2144229074119424,4.390178257264976,9270.78533455378,
Random best,2.4044749766699187,1.294675390453484,3.5478272282053482,5190.006006997462,
Random average,2.6732983201249723,1.1965973989124965,3.556617052599861,5905.806327469455,

Sample size: 400


The dimension of the input space is: 30
Sf-sfd,1.4384756614380354,0.0,0.0,1.4384756614380354,2352.909120321274
SF-SFD average,1.495085291804621,0.0,0.0,1.495085291804621,
LHS,1.8763028547839067,1.2156111760986694,4.415522008815594,4762.340693677341,
Sobol,2.767349165009117,1.1453342159861435,5.374929122730013,7128.279685265719,
Random best,1.8154149942449003,1.2269499521331848,4.377306362148768,4595.833099721123,
Random average,2.003790120467489,1.1748589417342892,4.33932829929898,5135.493909611276,

Sample size: 500


The dimension of the input space is: 30
Sf-sfd,1.1969957551430852,0.0,0.0,1.1969957551430852,2770.796544790268
SF-SFD average,1.229377546069307,0.0,0.0,1.229377546069307,
LHS,1.4834536578653132,1.1894371054515678,5.047374601618694,4234.806067588657,
Sobol,2.0117619719676476,1.1453342159861435,6.127453655458675,5792.622361555015,
Random best,1.4959751055598627,1.2214033317081199,5.006283217779737,4238.974862563147,
Random average,1.599349014889149,1.147757491593887,5.018323833042826,4610.263225333199,
