Dimension: 30

Sample seed: 7

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 30
Sf-sfd,3.542823508784627,0.0,0.0,3.542823508784627,263.9865276813507
SF-SFD average,3.6403554083691763,0.0,0.0,3.6403554083691763,
LHS,7.289605463961097,1.2819465920483684,1.4741733610757064,9129.495514734068,
Sobol,25.54997713477109,1.3191794324503396,1.8787313624843134,31671.80252845468,
Random best,6.947550725095811,1.4165169043287622,1.518409281638939,8420.756509424944,
Random average,7.995796085620088,1.322078163878973,1.4098228945775895,9922.728940966248,

Sample size: 200


The dimension of the input space is: 30
Sf-sfd,2.3915126470341033,0.0,0.0,2.3915126470341033,462.34031438827515
SF-SFD average,2.466492103667322,0.0,0.0,2.466492103667322,
LHS,3.8170676187643693,1.2255468709677944,2.6432573201638916,6842.461003939747,
Sobol,8.050363747914568,1.2144229074119424,3.323504401863026,14445.464516061958,
Random best,3.5333708603212486,1.2968404038262684,2.8493310770946465,6224.654361568196,
Random average,3.9738056702988747,1.250814026693246,2.65204051019622,7081.426437687337,

Sample size: 300


The dimension of the input space is: 30
Sf-sfd,1.798409714260277,0.0,0.0,1.798409714260277,669.0357873439789
SF-SFD average,1.8554715116121678,0.0,0.0,1.8554715116121678,
LHS,2.4787156978044376,1.146556450613581,3.501072056398523,5540.226290906951,
Sobol,4.221087106170131,1.2144229074119424,4.390178257264977,9270.78533455378,
Random best,2.4665540274363966,1.3164026737888297,3.4166599051733164,5297.691583896181,
Random average,2.6444563935798744,1.2065210915536755,3.5557122118592757,5828.2684612191315,

Sample size: 400


The dimension of the input space is: 30
Sf-sfd,1.4682969512614772,0.0,0.0,1.4682969512614772,1473.0907890796661
SF-SFD average,1.5073601539695116,0.0,0.0,1.5073601539695116,
LHS,1.8636037298722776,1.2162167640554706,4.448697435210339,4729.172789349034,
Sobol,2.767349165009117,1.1453342159861435,5.37492912273001,7128.279685265719,
Random best,1.811853248163633,1.161247742616146,4.324948245854819,4658.13033021693,
Random average,1.9816576041400125,1.1693579605407571,4.330573974986255,5085.048836638932,

Sample size: 500


The dimension of the input space is: 30
Sf-sfd,1.208357890202434,0.0,0.0,1.208357890202434,1660.0897979736328
SF-SFD average,1.236674302509269,0.0,0.0,1.236674302509269,
LHS,1.451203172392825,1.0232019571465059,5.179857091424756,4302.496210018822,
Sobol,2.0117619719676476,1.1453342159861435,6.127453655458674,5792.622361555015,
Random best,1.485704238111465,1.1854556153306053,5.045815532451383,4245.178984608164,
Random average,1.5875252553176937,1.149600312772207,5.0103993157631495,4574.026324907438,
