Dimension: 20

Sample seed: 3

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 20
Sf-sfd,0.6047462327558177,0.0,0.0,0.6047462327558177,346.3554232120514
SF-SFD average,0.6497818545448497,0.0,0.0,0.6497818545448497,
LHS,0.6589316683706139,0.9747380002484445,1.729119339895837,456.9244183321306,
Sobol,0.8617777281271719,1.0250762166785454,2.1959189734392277,587.5966666144548,
Random best,0.7317509642771958,0.9783790953552766,1.8087824227310982,506.68772949693954,
Random average,0.8225308798813903,0.9239431979752564,1.7391378039507166,578.633854879587,

Sample size: 200


The dimension of the input space is: 20
Sf-sfd,0.3292338998833406,0.0,0.0,0.3292338998833406,873.3797760009766
SF-SFD average,0.3615201182504621,0.0,0.0,0.3615201182504621,
LHS,0.3273291650100303,0.8808715910472646,2.970411794850665,328.99704454754095,
Sobol,0.3330679327919226,0.9527086693180398,3.642890053011314,327.2803689275619,
Random best,0.3714216437059026,0.9170040475051907,2.9413466890148556,369.59658043034733,
Random average,0.4106696255526225,0.8471307034612815,2.965031895886398,416.58594948722055,

Sample size: 300


The dimension of the input space is: 20
Sf-sfd,0.22658428591688917,0.0,0.0,0.22658428591688917,1325.2775537967682
SF-SFD average,0.2485789098795809,0.0,0.0,0.2485789098795809,
LHS,0.2249192368491899,0.8261482223150278,3.9771330854240636,280.81315637754034,
Sobol,0.19787171571604656,0.8931826624799025,4.465677495884412,242.15606597830666,
Random best,0.24097056903856462,0.8277980193268739,3.912262582942984,300.7741836356884,
Random average,0.2725203489565443,0.8135420967076837,3.8617498874468947,341.51855023204706,

Sample size: 400


The dimension of the input space is: 20
Sf-sfd,0.17750535959576563,0.0,0.0,0.17750535959576563,1870.1827986240387
SF-SFD average,0.19123839845771848,0.0,0.0,0.19123839845771848,
LHS,0.1719729854827028,0.7635923408853839,4.5808127524339595,252.18622502387436,
Sobol,0.13856653970714383,0.8812555407627234,5.423492625874335,196.3317503204263,
Random best,0.18280990253762752,0.8191606723272059,4.595190799098804,264.05135348887836,
Random average,0.2052032458220266,0.7830546471282193,4.637872847238159,299.2375049169328,

Sample size: 500


The dimension of the input space is: 20
Sf-sfd,0.1434245836448067,0.0,0.0,0.1434245836448067,2010.211077928543
SF-SFD average,0.15639010482806334,0.0,0.0,0.15639010482806334,
LHS,0.13240187283903637,0.7270686773503487,5.368103089460076,219.09082009512437,
Sobol,0.10522325515463482,0.7967696774760649,6.238567754829734,170.5400379704037,
Random best,0.14705381814618868,0.7952573042019804,5.115000672181508,239.04228778048463,
Random average,0.16464881163715311,0.7516353050597127,5.328895384781812,270.6646265666789,
