Dimension: 10

Sample seed: 3

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 10
Sf-sfd,0.046717750791883894,0.0,0.0,0.046717750791883894,119.66096925735474
SF-SFD average,0.06733880989801458,0.0,0.0,0.06733880989801458,
LHS,0.03550333458010835,0.517014435241854,2.175307762899728,9.187271056858517,
Sobol,0.02399215777984809,0.5112265046557152,2.669047710963721,6.190680481952726,
Random best,0.05495783483765093,0.4903063415041551,2.282636087506906,14.3493804147373,
Random average,0.0713242412457124,0.41737947686399834,2.180044560142855,19.14719619356694,

Sample size: 200


The dimension of the input space is: 10
Sf-sfd,0.024364553459754745,0.0,0.0,0.024364553459754745,241.5874810218811
SF-SFD average,0.033306115255393766,0.0,0.0,0.033306115255393766,
LHS,0.01781209091058722,0.43319464612740416,3.468834907508475,6.705965145117398,
Sobol,0.009976676208006463,0.3443265761099846,3.9288469801760253,3.8654349180136167,
Random best,0.026433027386229657,0.38840059327225623,3.4201609466658844,10.11851929065424,
Random average,0.03580180096516414,0.3593528727805817,3.3880350824107692,13.86433013620986,

Sample size: 300


The dimension of the input space is: 10
Sf-sfd,0.0162072196827312,0.0,0.0,0.0162072196827312,394.2089886665344
SF-SFD average,0.022851398445667005,0.0,0.0,0.022851398445667005,
LHS,0.011447240530626512,0.32600618152825617,4.466290585686646,5.478523603249878,
Sobol,0.0057707200335297415,0.3443265761099846,4.865532266044493,2.7374715421183766,
Random best,0.01891552504237559,0.42330783550115497,4.430000802839163,8.744076945761876,
Random average,0.02404083869251174,0.32183850881874243,4.303900323495657,11.540389931078982,

Sample size: 400


The dimension of the input space is: 10
Sf-sfd,0.012316396128388973,0.0,0.0,0.012316396128388973,558.9263319969177
SF-SFD average,0.01710547223908161,0.0,0.0,0.01710547223908161,
LHS,0.00880331549827229,0.3078515435156803,5.125534343082494,4.896886187020424,
Sobol,0.0036581394522379185,0.3443265761099846,5.664594899508439,2.0032983682068672,
Random best,0.013860037839337647,0.32642722313413064,4.9630726665017635,7.665925329614419,
Random average,0.017821817903220065,0.3031131217924991,5.082017872231339,9.932963083365435,

Sample size: 500


The dimension of the input space is: 10
Sf-sfd,0.010903515713634793,0.0,0.0,0.010903515713634793,786.0085175037384
SF-SFD average,0.013862805809664642,0.0,0.0,0.013862805809664642,
LHS,0.007340321116041881,0.29132868260664896,5.685117464656774,4.59241336868578,
Sobol,0.00254276000924758,0.3443265761099846,6.357763262238089,1.5566704365047768,
Random best,0.010707514409145524,0.27480939598361565,5.812666661326352,6.733673579436885,
Random average,0.014475190849286688,0.28578429229473346,5.761507333294267,9.071945505253023,
