Dimension: 10

Sample seed: 2

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 10
Sf-sfd,0.05211215319575757,0.0,0.0,0.05211215319575757,119.18915462493896
SF-SFD average,0.06733345449024115,0.0,0.0,0.06733345449024115,
LHS,0.03619161258690573,0.3903455016444826,2.2246100200322307,9.808895056982925,
Sobol,0.02399215777984809,0.5112265046557152,2.669047710963721,6.190680481952726,
Random best,0.04769512655389496,0.372733696341423,2.211044808941578,13.010590917096122,
Random average,0.07144862209421356,0.4073288421178092,2.174224072947842,19.26139395889055,

Sample size: 200


The dimension of the input space is: 10
Sf-sfd,0.025495441868228497,0.0,0.0,0.025495441868228497,250.45049047470093
SF-SFD average,0.032405268948307066,0.0,0.0,0.032405268948307066,
LHS,0.018585981761776615,0.4142182885680766,3.457181096560214,7.046572859447842,
Sobol,0.009976676208006463,0.3443265761099846,3.9288469801760253,3.8654349180136167,
Random best,0.02735792611306609,0.38064794172585875,3.531030462760024,10.493401436011492,
Random average,0.035259871176779,0.3537128240003007,3.3925840509736753,13.664735282023496,

Sample size: 300


The dimension of the input space is: 10
Sf-sfd,0.016715387693260197,0.0,0.0,0.016715387693260197,372.7712903022766
SF-SFD average,0.022727687091376344,0.0,0.0,0.022727687091376344,
LHS,0.012841210019700622,0.29230243570043446,4.129451632766398,6.23110556118289,
Sobol,0.0057707200335297415,0.3443265761099846,4.865532266044493,2.7374715421183766,
Random best,0.017325412932618356,0.3805411342044668,4.271683838297319,8.141700125179252,
Random average,0.023591570113214194,0.32132076830107464,4.32499155032271,11.31997830227981,

Sample size: 400


The dimension of the input space is: 10
Sf-sfd,0.012661627026945954,0.0,0.0,0.012661627026945954,468.4929232597351
SF-SFD average,0.01715283179219543,0.0,0.0,0.01715283179219543,
LHS,0.008621663193420837,0.30008231587429757,5.227202761236042,4.806385772953929,
Sobol,0.0036581394522379185,0.3443265761099846,5.664594899508439,2.0032983682068672,
Random best,0.013376939515471697,0.31135126889796705,5.084976326943666,7.433409916191942,
Random average,0.018050568855720667,0.30356876617501916,5.084343434954487,10.058297643717406,

Sample size: 500


The dimension of the input space is: 10
Sf-sfd,0.010560708239634842,0.0,0.0,0.010560708239634842,668.4029686450958
SF-SFD average,0.013606286995659946,0.0,0.0,0.013606286995659946,
LHS,0.00726840391622785,0.3096833068449179,5.779798976198996,4.5163831630621765,
Sobol,0.00254276000924758,0.3443265761099846,6.357763262238089,1.5566704365047768,
Random best,0.010088278181382027,0.2949241372513696,5.907984383311153,6.297299553080467,
Random average,0.014485296809834783,0.28918683220090474,5.7785446558588305,9.063208680903237,
