Dimension: 25

Sample seed: 9

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 100


The dimension of the input space is: 25
Sf-sfd,1.5570292681404174,0.0,0.0,1.5570292681404174,223.07094550132751
SF-SFD average,1.6192490540058153,0.0,0.0,1.6192490540058153,
LHS,2.218578057372678,1.2431121292799545,1.5614753227275304,2070.7224313269576,
Sobol,4.477601097564865,1.082982715697716,1.9239319053270887,4350.966687269746,
Random best,2.151576679414866,1.1944951435866267,1.373892399744406,2035.7096706475722,
Random average,2.55815701420382,1.1263163401517957,1.5701003036163093,2461.471796176776,

Sample size: 200


The dimension of the input space is: 25
Sf-sfd,0.9402794567690007,0.0,0.0,0.9402794567690007,344.7630100250244
SF-SFD average,0.9999670755833695,0.0,0.0,0.9999670755833695,
LHS,1.178551499546936,1.035205275403045,2.9148986504965655,1638.4336595546413,
Sobol,1.5756947512592845,1.082982715697716,3.3842006976787617,2161.252495437795,
Random best,1.1642282041937886,1.1343195797409962,2.790742980284111,1578.6192824275547,
Random average,1.2845483319297657,1.0501525663068516,2.775491468519877,1779.7789707163017,

Sample size: 300


The dimension of the input space is: 25
Sf-sfd,0.6916232117780083,0.0,0.0,0.6916232117780083,603.3390729427338
SF-SFD average,0.7162818509023965,0.0,0.0,0.7162818509023965,
LHS,0.7762648285782454,1.035681518983183,3.756816070771654,1320.9753246641585,
Sobol,0.8857802362613008,1.082982715697716,4.397848676355795,1487.1291649464479,
Random best,0.7633199910678856,0.9722262335389127,3.695771072134173,1319.9264185454874,
Random average,0.8619587093309113,1.0021970236973932,3.6992412431900434,1479.3928740195458,

Sample size: 400


The dimension of the input space is: 25
Sf-sfd,0.5357425381871508,0.0,0.0,0.5357425381871508,935.3680784702301
SF-SFD average,0.5600834231216771,0.0,0.0,0.5600834231216771,
LHS,0.5706590796521294,0.9735679987633394,4.511292574839454,1138.4943029684773,
Sobol,0.6033066477647218,1.082982715697716,5.380177711712296,1168.8670489421609,
Random best,0.584188018509697,0.9722262335389127,4.334988331393524,1166.2884592167113,
Random average,0.6474879130811654,0.974530182376039,4.467361933488567,1291.427315452085,

Sample size: 500


The dimension of the input space is: 25
Sf-sfd,0.44336241974179025,0.0,0.0,0.44336241974179025,1082.840636253357
SF-SFD average,0.4618078144977129,0.0,0.0,0.4618078144977129,
LHS,0.45282992617350715,1.0205603447516605,5.17698503698088,998.0248837037653,
Sobol,0.4514388018751747,1.0089190418743421,6.134293322403594,996.1446887829223,
Random best,0.49245354039834677,1.020781666579055,5.166192358296883,1085.3150411888457,
Random average,0.5179015756005241,0.9599373327149385,5.148024433950615,1158.8689725817762,
