Dimension: 4

Sample seed: 5

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 10


The dimension of the input space is: 4
Sf-sfd,0.12307592549944224,0.1756721878460313,0.7687231128068852,-0.2737731250511581,66.45092225074768
LHS,0.026977024323791676,0.3807215389653908,0.6293382646921551,-0.32769425977791805,
Sobol,0.042199053341611226,0.4330127018922193,0.5102438592639063,-0.3003525026048381,
Random,0.0551838832358873,0.33033788997674385,0.660460824467999,-0.31187161040295186,

Sample size: 40


The dimension of the input space is: 4
Sf-sfd,0.15491115726360283,0.11727727243552818,1.6124162166342424,-0.5249274439353893,221.7217948436737
LHS,0.004385417395089242,0.14429956540742414,1.578784116036486,-0.5728994213496069,
Sobol,0.004560370035543215,0.19515618744994995,1.6425757184348755,-0.6110571786164274,
Random,0.02724267071971198,0.13723389877201436,1.6762533290374635,-0.5954148523632553,

Sample size: 70


The dimension of the input space is: 4
Sf-sfd,0.10618693676458002,0.06396655509795565,2.3447789988107357,-0.767519539048037,488.1012005805969
LHS,0.0040833501423092056,0.07063293841786321,2.119249313165424,-0.7285996338136593,
Sobol,0.001603415408425235,0.19515618744994995,2.317178122720796,-0.8369102982541069,
Random,0.013788795614622984,0.11210728158801087,2.3600700317187293,-0.8194628392307056,

Sample size: 100


The dimension of the input space is: 4
Sf-sfd,0.12755867327039816,0.05414195872010335,2.7546139992125047,-0.8937324282207366,765.3852872848511
LHS,0.002159146213828178,0.057439801001196715,2.6802448960173484,-0.9118418502682389,
Sobol,0.000862642855194995,0.1316585902058806,2.8043602397648244,-0.9783853957051699,
Random,0.007243222676751593,0.10487061625655578,2.6736623501627883,-0.9237632479141974,
Dimension: 4

Sample seed: 6

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 10


The dimension of the input space is: 4
Sf-sfd,0.34515509429124935,0.21894950115466835,0.6080747547926271,-0.16062305388534867,106.42729473114014
LHS,0.03200834197514868,0.29715328178164857,0.5195604430778425,-0.2615684609614475,
Sobol,0.042199053341611226,0.4330127018922193,0.5102438592639063,-0.3003525026048381,
Random,0.06398249200805117,0.2753709021231359,0.8355403186478141,-0.34897624292096624,

Sample size: 40


The dimension of the input space is: 4
Sf-sfd,0.08113563552695924,0.06972621930580118,1.7812157673231261,-0.5899354503673226,237.77969193458557
LHS,0.005641462070168357,0.1377552165404331,1.5392599947520909,-0.5571245830741186,
Sobol,0.004560370035543215,0.19515618744994995,1.6425757184348755,-0.6110571786164274,
Random,0.021247163173491845,0.11000274347125312,1.7545697760050787,-0.61444178543428,

Sample size: 70


The dimension of the input space is: 4
Sf-sfd,0.18427143065654983,0.08627702853375323,2.3405368895091585,-0.7475141624621205,359.7399740219116
LHS,0.0028157695744184252,0.12248162137294367,2.2632977326913397,-0.794321194829955,
Sobol,0.001603415408425235,0.19515618744994995,2.317178122720796,-0.8369102982541069,
Random,0.016807442677750917,0.05849611089290571,2.377342713120729,-0.8063437937786281,

Sample size: 100


The dimension of the input space is: 4
Sf-sfd,0.13326236061125263,0.040038581174442464,2.8290844019682466,-0.9119535408438121,965.3480126857758
LHS,0.0018644280085913234,0.05583358761078532,2.654834930792786,-0.9029346967983267,
Sobol,0.000862642855194995,0.1316585902058806,2.8043602397648244,-0.9783853957051699,
Random,0.01481965345634162,0.07238059173960562,2.7847102657359097,-0.947423734673058,
Dimension: 4

Sample seed: 7

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 10


The dimension of the input space is: 4
Sf-sfd,0.1300984016437745,0.3402891376414258,0.721582932779266,-0.31059122292563907,86.04160356521606
LHS,0.02737890073912963,0.5129636782831027,0.7459338659885786,-0.4105062145108505,
Sobol,0.042199053341611226,0.4330127018922193,0.5102438592639063,-0.3003525026048381,
Random,0.05389017220619752,0.3688509920736027,0.813558599174252,-0.3761731396805524,

Sample size: 40


The dimension of the input space is: 4
Sf-sfd,0.13281504989533222,0.056131560155231394,1.4462820382538533,-0.4565328495045841,247.854736328125
LHS,0.007120380876235233,0.14166800246485572,1.5601543586390971,-0.5649006600759059,
Sobol,0.004560370035543215,0.19515618744994995,1.6425757184348755,-0.6110571786164274,
Random,0.02020026568278155,0.11153284503907192,1.7157033734636347,-0.6023453176066417,

Sample size: 70


The dimension of the input space is: 4
Sf-sfd,0.18392611806870707,0.08302305761855633,1.9587166705218026,-0.6192712033572173,455.5457284450531
LHS,0.0025730634720675383,0.0835906598344189,2.171390419395639,-0.75080267191933,
Sobol,0.001603415408425235,0.19515618744994995,2.317178122720796,-0.8369102982541069,
Random,0.017106888599453418,0.1035875716695639,2.3521620891979858,-0.8128809240893654,

Sample size: 100


The dimension of the input space is: 4
Sf-sfd,0.10344316197168846,0.043448834023646576,2.6695894795736095,-0.8698650505418558,633.0487954616547
LHS,0.002233422361568982,0.10693721743718863,2.5966137683559154,-0.9004391878105117,
Sobol,0.000862642855194995,0.1316585902058806,2.8043602397648244,-0.9783853957051699,
Random,0.008814461092523596,0.08401075953882722,2.926868663736731,-1.0006883207276782,
Dimension: 4

Sample seed: 8

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 10


The dimension of the input space is: 4
Sf-sfd,0.27165736545687236,0.21502723523934347,0.6904383410660091,-0.21126940361616006,103.00069379806519
LHS,0.029412472469066975,0.3448613734246008,0.7210493323661972,-0.34549941110724364,
Sobol,0.042199053341611226,0.4330127018922193,0.5102438592639063,-0.3003525026048381,
Random,0.05099864508779994,0.35080769203919093,0.6786306506386021,-0.326146565863331,

Sample size: 40


The dimension of the input space is: 4
Sf-sfd,0.13063418557281814,0.08806669775613668,1.500106890277929,-0.4858464674870825,292.14694023132324
LHS,0.006112923791657732,0.11483875477678353,1.6665521979235212,-0.591759342969549,
Sobol,0.004560370035543215,0.19515618744994995,1.6425757184348755,-0.6110571786164274,
Random,0.021280646233206246,0.19316110505502654,1.6349298240171772,-0.6022700942796658,

Sample size: 70


The dimension of the input space is: 4
Sf-sfd,0.14461743187979614,0.0861069259044242,2.2029485435230987,-0.7148126791825755,388.3407247066498
LHS,0.0029323918511718894,0.10694721473364997,2.326154694899199,-0.8100565059272257,
Sobol,0.001603415408425235,0.19515618744994995,2.317178122720796,-0.8369102982541069,
Random,0.012002795173911895,0.06660319654439295,2.3530579171500374,-0.8025527728401728,

Sample size: 100


The dimension of the input space is: 4
Sf-sfd,0.20993960239302356,0.023605170617252865,2.546418022858544,-0.7866945303609244,753.3101043701172
LHS,0.002093543160673672,0.08030699468517793,2.6873873000498953,-0.9218669171914665,
Sobol,0.000862642855194995,0.1316585902058806,2.8043602397648244,-0.9783853957051699,
Random,0.012541237236507907,0.07164433300681965,2.773145534259581,-0.9440828766766308,
Dimension: 4

Sample seed: 9

method,discrepancy,maximin,eigen_value,cumulative,time_to_sol

Sample size: 10


The dimension of the input space is: 4
Sf-sfd,0.16181719411257456,0.3534774800628711,0.6004510280296351,-0.2640371046599772,97.44873404502869
LHS,0.02477167039423711,0.24736511447191376,0.613581886553401,-0.27872511021035923,
Sobol,0.042199053341611226,0.4330127018922193,0.5102438592639063,-0.3003525026048381,
Random,0.0638466401940272,0.4786487372366433,0.6750272459985143,-0.36327644768037676,

Sample size: 40


The dimension of the input space is: 4
Sf-sfd,0.1424083874391886,0.08276292296007609,1.6738759186474552,-0.5380768180561142,303.3935720920563
LHS,0.006378363308462864,0.11630262676586121,1.468197715121045,-0.5260406595261478,
Sobol,0.004560370035543215,0.19515618744994995,1.6425757184348755,-0.6110571786164274,
Random,0.010703603072881096,0.21399533629878573,1.5604525675668526,-0.587914766930919,

Sample size: 70


The dimension of the input space is: 4
Sf-sfd,0.18373842019446518,0.060146639006137176,2.084461235495908,-0.6536231514358599,460.1706440448761
LHS,0.002909048451675167,0.09211841685585528,2.2404262654718337,-0.7765452112920045,
Sobol,0.001603415408425235,0.19515618744994995,2.317178122720796,-0.8369102982541069,
Random,0.015865657784072562,0.0761496873544902,2.3712014690621945,-0.8104951662108707,

Sample size: 100


The dimension of the input space is: 4
Sf-sfd,0.038971804553960876,0.05963598463281017,2.76476326289324,-0.9284758143240297,802.5662159919739
LHS,0.002594602605955787,0.08314855456204863,2.462164835729881,-0.8475729292286579,
Sobol,0.000862642855194995,0.1316585902058806,2.8043602397648244,-0.9783853957051699,
Random,0.019221782652258934,0.06395867008577213,2.8327730181902675,-0.9591699685412602,
